molecular0
C,1.84825400,-0.68442800,0.33532500
C,1.84830300,0.68442600,-0.33481000
H,0.96925500,-0.81633900,0.96537000
H,2.72888900,-0.81468200,0.96319700
H,1.84689500,-1.48518200,-0.40342900
H,1.84672500,1.48518000,0.40394400
H,0.96945100,0.81629100,-0.96506800
H,2.72908600,0.81472300,-0.96246600
molecular1
C,-1.84825900,-0.68442600,-0.33532600
C,-1.84829800,0.68442800,0.33481000
H,-1.84691700,-1.48518000,0.40342900
H,-0.96925700,-0.81634700,-0.96536200
H,-2.72889000,-0.81466900,-0.96320500
H,-0.96944900,0.81628400,0.96507400
H,-2.72908300,0.81473500,0.96246000
H,-1.84670500,1.48518200,-0.40394400
