molecular0
C,1.89974000,1.91181200,-0.35129900
H,1.11651600,1.94221100,-1.11022000
H,2.85969400,2.00149100,-0.86170400
H,1.77731400,2.78503600,0.28928200
C,1.83181700,0.61550300,0.44574900
H,2.60818500,0.61356800,1.21594400
H,0.87547200,0.55450000,0.97233700
C,1.99625900,-0.62155200,-0.42822100
H,2.95550000,-0.56634500,-0.95040500
H,1.22410600,-0.61829300,-1.20303300
C,1.91796200,-1.91470000,0.37351800
H,0.95819000,-1.99439200,0.88612300
H,2.03048800,-2.79188100,-0.26345600
H,2.70253300,-1.94695000,1.13073400
molecular1
C,-1.92518200,-1.91027500,-0.37346500
H,-0.96530900,-1.99372900,-0.88528500
H,-2.70925700,-1.93948400,-1.13131800
H,-2.04165100,-2.78698600,0.26344600
C,-1.99907200,-0.61680200,0.42816500
H,-2.95851200,-0.55779000,0.94956300
H,-1.22752200,-0.61652900,1.20359800
C,-1.82896000,0.61955700,-0.44569800
H,-2.60454700,0.62067100,-1.21667900
H,-0.87232200,0.55472600,-0.97128400
C,-1.89257800,1.91615100,0.35124400
H,-1.11017200,1.94341000,1.11112300
H,-1.76584500,2.78886200,-0.28920200
H,-2.85278100,2.00973500,0.86048200
